movie_title,release_date,duration (mins),budget ($),US_gross ($),worldwide_gross ($),imdb,metascore,tomatometer,audience_score
Man of Steel,"June 14, 2013",143,225000000,291045518,668045518,7.1,55,56,75
Batman v Superman: Dawn of Justice,"March 25, 2016",152,250000000,330360194,873637528,6.4,44,29,63
Suicide Squad,"August 5, 2016",123,175000000,325100054,746846894,5.9,40,26,58
Wonder Woman,"June 2, 2017",141,149000000,412845172,822854286,7.4,76,93,83
Justice League,"November 17, 2017",120,300000000,229024295,657926987,6.1,45,39,67
Aquaman,"December 21, 2018",143,200000000,335104314,1148528393,6.8,55,65,72
Shazam!,"April 5, 2019",132,100000000,140480049,367799011,7.0,71,90,82
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"February 7, 2020",109,85000000,84172791,205372791,6.1,60,79,78
Wonder Woman 1984,"December 25, 2020",151,200000000,46801036,169601036,5.4,60,58,73
The Suicide Squad,"August 5, 2021",132,185000000,55817425,168717425,7.2,72,90,82
Black Adam,"October 21, 2022",124,195000000,168152111,393252111,6.3,41,38,88
Shazam! Fury of the Gods,"March 17, 2023",130,125000000,57638006,133783006,6.0,47,49,86
The Flash,"June 16, 2023",144,200000000,102944835,249144835,7.2,56,64,84
